排名,代码,名称,5日均线角度,最新价
1,sh688268,华特气体,86.39,190.23
2,sh688702,盛科通信,85.66,328.0
3,sh688795,摩尔线程,83.84,689.6
4,sh688048,长光华芯,83.81,351.2
5,sz002371,北方华创,82.99,510.71
6,sh688012,中微公司,82.38,359.76
7,sz301396,宏景科技,81.84,327.45
8,sz300857,协创数据,81.73,271.77
9,sh688041,海光信息,80.6,278.77
10,sh688020,方邦股份,80.51,137.7
11,sz301630,同宇新材,80.48,257.72
12,sz301666,大普微-UW,79.44,296.0
13,sh688256,寒武纪,79.33,1416.63
14,sz301345,涛涛车业,79.21,265.61
15,sh688536,思瑞浦,79.15,237.36
16,sh688677,海泰新光,78.7,111.0
17,sh688807,优迅股份,78.34,363.2
18,sh603444,吉比特,78.09,415.6
19,sh688200,华峰测控,77.94,335.04
20,sz002916,深南电路,77.44,314.51
21,sh688498,源杰科技,77.43,1515.0
22,sz300604,长川科技,77.27,174.3
23,sz301248,杰创智能,76.25,85.18
24,sh688279,峰岹科技,75.81,195.99
25,sh688037,芯源微,75.73,205.0
26,sh688072,拓荆科技,75.54,423.67
27,sh605389,长龄液压,75.25,106.5
28,sh688661,和林微纳,75.08,123.77
29,sh688519,南亚新材,74.87,175.1
30,sz300489,光智科技,74.8,94.33
31,sz002384,东山精密,74.48,184.25
32,sh688227,品高股份,74.42,135.2
33,sh605289,罗曼股份,74.22,153.52
34,sh688628,优利德,74.15,98.04
35,sh688531,日联科技,73.21,100.5
36,sz300613,富瀚微,72.56,59.58
37,sz301629,矽电股份,72.29,308.7
38,sh688052,纳芯微,72.26,188.99
39,sh688008,澜起科技,72.06,169.9
40,sz002975,博杰股份,72.02,110.11
41,sh688141,杰华特,71.88,79.53
42,sz301486,致尚科技,71.69,217.7
43,sh688409,富创精密,71.45,122.5
44,sz301373,凌玮科技,71.2,111.67
45,sh688802,沐曦股份,71.18,713.36
46,sh688630,芯碁微装,71.16,264.95
47,sz001389,广合科技,71.08,164.0
48,sz301308,江波龙,70.4,414.3
49,sh688047,龙芯中科,70.06,155.92
50,sz300408,三环集团,69.41,82.01
